Year,Team,Games Won,GP,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,,,,,,
2010-2011,Miami Heat 2011,58,82,102.1,37,76.8,48.1,6.7,18,37,21.5,27.9,76.9,9.6,32.5,42.1,20,6.6,5.2,13.9,20.4,,,,,,
2010-2011,Los Angeles Lakers 2011,57,82,101.5,38.1,82.4,46.3,6.4,18.1,35.2,18.8,24.1,77.9,12.1,31.9,44,22,7.3,5.1,13.1,19,,,,,,
2010-2011,Minnesota Timberwolves 2011,17,82,101.1,37.7,85.5,44.1,7.2,19.1,37.6,18.5,24.1,76.8,13.2,31.2,44.4,20.1,7.2,5.1,17,22.3,,,,,,
2010-2011,Dallas Mavericks 2011,57,82,100.2,37.4,78.8,47.5,7.9,21.6,36.5,17.5,22.6,77.7,9.5,31.9,41.4,23.8,6.8,4.3,14,19.2,,,,,,
2010-2011,Memphis Grizzlies 2011,46,82,99.9,39,82.9,47.1,3.8,11.3,33.4,18.1,24.2,75,11.8,29.2,41,20.6,9.4,5.4,14,20.8,,,,,,
2010-2011,Indiana Pacers 2011,37,82,99.8,36.6,82.8,44.2,7.1,20.2,35.4,19.4,24.8,78.2,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,,,,,,
2010-2011,Utah Jazz 2011,39,82,99.4,37.4,80.4,46.5,5.3,15.3,34.6,19.4,25.1,77.1,11,28.5,39.5,23.4,7.7,5.9,14.3,22.7,,,,,,
2010-2011,Sacramento Kings 2011,24,82,99.4,38.2,85.1,44.9,5.2,15.6,33.5,17.7,24.2,73.4,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22,,,,,,
2010-2011,Orlando Magic 2011,52,82,99.2,36,78.2,46.1,9.4,25.6,36.6,17.7,25.6,69.2,10.5,32.7,43.2,20,6.7,4.7,14.9,20,,,,,,
2010-2011,Toronto Raptors 2011,22,82,99.1,38.3,82.4,46.5,4.2,13.3,31.6,18.2,24.1,75.5,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22,,,,,,
2010-2011,Philadelphia 76ers 2011,41,82,99,38.1,82.6,46.1,5.4,15.2,35.5,17.4,22.6,77,10.4,31.4,41.8,22.7,7.6,4.3,13,19.4,,,,,,
2010-2011,LA Clippers 2011,32,82,98.6,36.8,80.4,45.7,6.3,18.5,33.8,18.9,26.7,70.7,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,,,,,,
2010-2011,Chicago Bulls 2011,62,82,98.6,37.1,80.3,46.2,6.2,17.3,36.1,18.2,24.5,74.3,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20,,,,,,
2010-2011,Washingon Wizards 2011,23,82,97.3,37.2,84,44.3,4.8,14.4,33.2,18.2,24.4,74.5,12.4,29,41.3,19.4,8.1,6.1,15.3,22.6,,,,,,
2010-2011,Detroit Pistons 2011,30,82,97,37.3,81.1,46,5.8,15.3,37.6,16.7,22.6,73.7,11.4,27.3,38.6,21.1,7.3,4,13,19.9,,,,,,
2010-2011,Boston Celtics 2011,56,82,96.5,36.9,75.8,48.6,5,13.6,36.5,17.8,23.1,77,7.8,31,38.8,23.4,8.2,4.2,14.6,20.5,,,,,,
2010-2011,Portland Trail Blazers 2011,48,82,96.3,36,80.5,44.7,6.3,18.3,34.5,18,22.4,80.4,12.1,27.2,39.3,21.2,8,4.4,13,19.3,,,,,,
2010-2011,Cleveland Cavaliers 2011,19,82,95.5,35.2,81.1,43.4,6.2,18.2,34.2,18.9,25.3,74.5,10.4,29.9,40.3,21,6.6,4.2,14.2,20.1,,,,,,
2010-2011,Atlanta Hawks 2011,44,82,95,36.2,78.4,46.2,6.1,17.4,35.2,16.4,21.1,77.9,9.3,30,39.3,22,6.1,4.2,13.6,19,,,,,,
2010-2011,New Orleans Hornets 2011,46,82,94.9,35.9,78.2,45.9,5.4,15,36,17.7,23.1,76.5,10,30.1,40.1,20.6,7.6,4.4,13,21,,,,,,
2010-2011,New Jersey Nets 2011,24,82,94.2,35.6,81,44,5.6,16.3,34.3,17.4,22.9,75.9,11.1,29.8,40.8,21,5.6,4.7,14,22,,,,,,
